grams,count,sentiment
will be speaking,12,0.1000000015
know how to,12,-0.02307692285
we have to,12,0.01764705821
to do a,12,-0.04999999739
more years of,12,-0.1666666685
for a big,12,0.3076923151
at all times.,12,0.1076923087
are the only,12,-0.01666666692
to the people,12,0.03846153732
so many people,12,0.1166666709
she will be,12,0.3727272729
– think big,12,0.175000002
thanks,12,0.3631578972
much better than,12,0.08181818439
be talking about,12,-0.01666666878
@realdonaldtrump thank you,12,0.4874999998
for a long,12,0.0538461535
has done a,12,0.3200000003
the old post,12,0.450000003
for your nice,12,0.3416666755
i have no,12,0.05000000012
is no longer,12,-0.2833333413
way to go,12,0.243750006
to talk about!,12,0.1333333372
north korea and,12,0.06363636933
to stop the,12,-0.2083333371
and we are,12,0.14166667
am the only,12,0.1666666698
much of the,12,-0.3000000033
the border and,12,0.04166666667
the democrats have,12,-0.2500000011
i will never,12,0.3142857152
on my way,12,0.1578947419
my way to,12,0.1583333388
- and we,12,0.2428571438
for your support!,12,0.200000004
ted cruz is,12,-0.2076923108
crooked hillary clinton.,12,-0.3085106425
"goofy elizabeth warren,",12,-0.2000000042
repeal &amp; replace,12,-0.04999999963
to be with,12,0.2923077024
and has my,12,0.4583333402
13 angry democrats,12,-0.3937500035
rigged witch hunt,12,-0.5166666682
be a big,11,0.3454545452
at the trump,11,0.2294117681
tomorrow night at,11,0.2272727307
our thoughts and,11,0.2750000022
the miss usa,11,0.3272727281
honored to be,11,0.4545454634
trump international hotel,11,0.2666666706
tonight at 10,11,0.1562500035
honor to have,11,0.4454545467
it was great,11,0.5076923072
in today's #trumpvlog...,11,0.1000000018
women of the,11,0.2454545484
thing you can,11,0.01176470606
last night on,11,0.1636363607
get back to,11,-0.1818181832
we must do,11,0.2166666662
as bad as,11,-0.3090909144
to the american,11,0.04545454749
is not the,11,-0.2500000012
can you imagine,11,-0.1769230796
where is the,11,-0.3384615435
the gop primary,11,-0.02666666855
want to be,11,0.1230769249
time for the,11,0.03333333321
get out of,11,-0.1545454555
the federal government,11,0.06666666828
the price of,11,0.02499999913
on @foxnews at,11,0.3090909151
has to be,11,-0.05454545536
"in the end,",11,0.05833333544
interview discussing the,11,-0.009090906517
he should be,11,-0.3153846166
should run for,11,0.1636363668
to get out,11,-0.04166666915
i can't believe,11,-0.09090909159
the only candidate,11,0.2000000017
i love the,11,0.5571428569
we will never,11,0.06363636391
7:30 am. tune,11,0.06923077026
the best of,11,0.372727279
i told you,11,1.66E-09
hard to get,11,0.01818181778
international golf links,11,0.4866666699
are the ones,11,0.1555555587
going to the,11,0.2727272795
i have always,11,-0.009090910581
will be very,11,0.2454545511
i am proud,11,0.4636363665
got back from,11,0.4181818231
what they are,11,-0.1636363647
"in the world,",11,-0.01818181507
see yourself as,11,0.2363636358
trump for president,11,0.06724138057
work hard and,11,0.4181818149
will be great!,11,0.476923084
– midas touch,11,0.1454545483
proud of you!,11,0.6153846211
@realdonaldtrump please run,11,0.0307692318
on fox &amp;,11,0.1272727271
thank you so,11,0.3450000063
for the u.s.,11,0.01666666609
so much to,11,0.2538461593
- it is,11,0.04444444345
just had a,11,0.2428571433
and so much,11,-0.04285713924
that the u.s.,11,-0.1272727305
it is all,11,-0.02727273039
that i have,11,-0.05000000137
looking at the,11,-0.2090909115
going on in,11,-1.35E-09
for governor of,11,0.4090909152
i love you,11,0.4074074118
the united states!,11,0.2000000043
make a deal,11,0.04444444469
for our country.,11,0.1333333351
our country will,11,-0.01818181574
as i have,11,-0.009090912613
meeting with the,11,0.02727272632
in new hampshire.,11,0.202941178
stronger than ever,11,0.09285714371
very hard to,11,0.02727272903
club for growth,11,-0.3692307667
great day in,11,0.3818181868
be back soon!,11,0.2166666711
@seanhannity tonight at,11,0.2636363676
and make america,11,0.3000000024
thank you america!,11,0.03846153903
are with you,11,0.1111111144
we are doing,11,0.06153846246
the great men,11,0.2000000057
the men and,11,0.2454545498
my complete and,11,0.4727272784
our great american,11,0.3916666694
to welcome president,11,0.5000000047
tough on crime,11,0.3833333382
the 13 angry,11,-0.309090911
"on crime, the",11,0.2636363696
